string1   	string2	Entity	Performance	Usability	Security	polarity
Is the only difference that you call it API key instead of username or is there anything else?   	"this was quite helpful. I have an application which needs to support both Username/Password and ApiKey based authentication. I had Username/Password working and after reading your posting was able to get ApiKey working. Unfortunately, I seemed to break the Username/Password. I am suspicious it is the ordering of my filters or my use of the same AuthenticationManager for both Username/Password and ApiKey auth. Any advice?  "	username	0	0	0	0
Is the only difference that you call it API key instead of username or is there anything else?   	"this was quite helpful. I have an application which needs to support both Username/Password and ApiKey based authentication. I had Username/Password working and after reading your posting was able to get ApiKey working. Unfortunately, I seemed to break the Username/Password. I am suspicious it is the ordering of my filters or my use of the same AuthenticationManager for both Username/Password and ApiKey auth. Any advice?  "	AuthenticationManager	0	1	0	0
Is the only difference that you call it API key instead of username or is there anything else?   	"this was quite helpful. I have an application which needs to support both Username/Password and ApiKey based authentication. I had Username/Password working and after reading your posting was able to get ApiKey working. Unfortunately, I seemed to break the Username/Password. I am suspicious it is the ordering of my filters or my use of the same AuthenticationManager for both Username/Password and ApiKey auth. Any advice?  "	Username/Password	0	0	0	0
NULL	"If you are using transfer managers, this solution also works. Simply replace ,s3Client.putObject(, with ,TransferManager.upload(  "	s3Client.putObject(	0	1	0	0
NULL	"If you are using transfer managers, this solution also works. Simply replace ,s3Client.putObject(, with ,TransferManager.upload(  "	TransferManager.upload(	0	1	0	0
"If you are using transfer managers, this solution also works. Simply replace ,s3Client.putObject(, with ,TransferManager.upload(   "	"Unfortunately, it seems that with TransferUtility the Android SDK does not has this feature: ,github.com/aws/aws-sdk-android/issues/63  "	s3Client.putObject(	0	1	0	0
"If you are using transfer managers, this solution also works. Simply replace ,s3Client.putObject(, with ,TransferManager.upload(   "	"Unfortunately, it seems that with TransferUtility the Android SDK does not has this feature: ,github.com/aws/aws-sdk-android/issues/63  "	TransferManager.upload(	0	1	0	0
"If you are using transfer managers, this solution also works. Simply replace ,s3Client.putObject(, with ,TransferManager.upload(   "	"When using ,TransferManager, the following works: ,Upload upload = tm.upload(         new PutObjectRequest(bucketName, key, file, metadata)             .withCannedAcl(CannedAccessControlList.PublicRead));  "	s3Client.putObject(	0	1	0	0
"If you are using transfer managers, this solution also works. Simply replace ,s3Client.putObject(, with ,TransferManager.upload(   "	"When using ,TransferManager, the following works: ,Upload upload = tm.upload(         new PutObjectRequest(bucketName, key, file, metadata)             .withCannedAcl(CannedAccessControlList.PublicRead));  "	TransferManager.upload(	0	1	0	0
"How come when I run the program it returns ""null : null"" or should I post this in a new question?   "	"Wow, Great but why eclipse imports ,java.awt.List, not ,java.utils.List,?  "	java.awt.List	0	1	0	0
"How come when I run the program it returns ""null : null"" or should I post this in a new question?   "	"Wow, Great but why eclipse imports ,java.awt.List, not ,java.utils.List,?  "	java.utils.List	0	1	0	0
"getRuntime().totalMemory(), refers to the total amount of memory available to the Java runtime, not the amount of memory available to your application in particular.   "	"To RobertHarvey: To clarify, why do you say ,totalMemory, is not going to work for To MattB? Looking at this question as it is currently phrased, To MattB wants to measure the memory use of his Java program running on a single JVM instance. For this scenario, ,totalMemory - freeMemory, is correct. The results of ,totalMemory, are not affected by other JVM instances (i.e., processes) running on the same machine. And To MattB makes no mention of other programs running inside the same JVM instance as his program. How is ,totalMemory, not correct?  "	getRuntime().totalMemory()	0	1	0	0
"getRuntime().totalMemory(), refers to the total amount of memory available to the Java runtime, not the amount of memory available to your application in particular.   "	"To RobertHarvey: To clarify, why do you say ,totalMemory, is not going to work for To MattB? Looking at this question as it is currently phrased, To MattB wants to measure the memory use of his Java program running on a single JVM instance. For this scenario, ,totalMemory - freeMemory, is correct. The results of ,totalMemory, are not affected by other JVM instances (i.e., processes) running on the same machine. And To MattB makes no mention of other programs running inside the same JVM instance as his program. How is ,totalMemory, not correct?  "	totalMemory	0	1	0	0
"getRuntime().totalMemory(), refers to the total amount of memory available to the Java runtime, not the amount of memory available to your application in particular.   "	"You're witnessing the garbage collector at work (not sure why you get a stack overflow tho--sounds like a bug in your test). The JVM's heap starts out empty with a small size (128MB). As more objects get created, the heap gets more full. Eventually the heap becomes so full that it triggers a full GC, causing two effects: 1) the heap size is ,increased, to 224MB, thus increasing ,totalMemory,, and 2) garbage is collected, increasing ,freeMemory,. All very normal. And it appears your JVM changes its precision of ,freeMemory, depending on... who knows. Again the behavior is within spec.  "	getRuntime().totalMemory()	0	0	1	0
"getRuntime().totalMemory(), refers to the total amount of memory available to the Java runtime, not the amount of memory available to your application in particular.   "	"You're witnessing the garbage collector at work (not sure why you get a stack overflow tho--sounds like a bug in your test). The JVM's heap starts out empty with a small size (128MB). As more objects get created, the heap gets more full. Eventually the heap becomes so full that it triggers a full GC, causing two effects: 1) the heap size is ,increased, to 224MB, thus increasing ,totalMemory,, and 2) garbage is collected, increasing ,freeMemory,. All very normal. And it appears your JVM changes its precision of ,freeMemory, depending on... who knows. Again the behavior is within spec.  "	totalMemory	0	0	0	0
"getRuntime().totalMemory(), refers to the total amount of memory available to the Java runtime, not the amount of memory available to your application in particular.   "	"You're witnessing the garbage collector at work (not sure why you get a stack overflow tho--sounds like a bug in your test). The JVM's heap starts out empty with a small size (128MB). As more objects get created, the heap gets more full. Eventually the heap becomes so full that it triggers a full GC, causing two effects: 1) the heap size is ,increased, to 224MB, thus increasing ,totalMemory,, and 2) garbage is collected, increasing ,freeMemory,. All very normal. And it appears your JVM changes its precision of ,freeMemory, depending on... who knows. Again the behavior is within spec.  "	freeMemory	0	0	0	0
"getRuntime().totalMemory(), refers to the total amount of memory available to the Java runtime, not the amount of memory available to your application in particular.   "	"BTW, ,Diff, is ,not, the amount of used memory. It is a measurement of the precision of ,freeMemory,, i.e., the difference between the previously reported amount of ,freeMemory, and the current reported amount. You would expect it to remain fairly constant because it would be odd for the precision of ,freeMemory, to change chaotically.  "	getRuntime().totalMemory()	0	1	0	0
"getRuntime().totalMemory(), refers to the total amount of memory available to the Java runtime, not the amount of memory available to your application in particular.   "	"BTW, ,Diff, is ,not, the amount of used memory. It is a measurement of the precision of ,freeMemory,, i.e., the difference between the previously reported amount of ,freeMemory, and the current reported amount. You would expect it to remain fairly constant because it would be odd for the precision of ,freeMemory, to change chaotically.  "	freeMemory	0	1	0	0
NULL	"Try to change ,To Field, to ,To Query  "	To	0	0	0	0
NULL	"Try to change ,To Field, to ,To Query  "	To	0	0	0	0
"Try to change ,To Field, to ,To Query   "	"Can i see the all URL ? And you can try to keep ,To Field, and add above ,To PUT,, ,To FormUrlEncoded  "	To	0	0	0	0
"Try to change ,To Field, to ,To Query   "	"Can i see the all URL ? And you can try to keep ,To Field, and add above ,To PUT,, ,To FormUrlEncoded  "	To	0	0	0	0
"Try to change ,To Field, to ,To Query   "	"You are sure, that your request is a put and not a post ?  "	To	0	0	0	0
"Try to change ,To Field, to ,To Query   "	"You are sure, that your request is a put and not a post ?  "	To	0	0	0	0
"Try to change ,To Field, to ,To Query   "	"Okay, that's weird, on postman the endpoint is register/ or register ?  "	To	0	0	0	0
"Try to change ,To Field, to ,To Query   "	"Okay, that's weird, on postman the endpoint is register/ or register ?  "	To	0	0	0	0
"Try to change ,To Field, to ,To Query   "	"Okay, that's weird, on postman the endpoint is register/ or register ?  "	register/	0	0	0	0
Could you provide your annotated domain class or some other example class?   	"Is there a good tutorial or documentation anywhere once you get past the basics? Pro JPA 2 Mastering the Java Persistence API is a much better than the sun tutorial, but doesn't go into enough detail. I'm having a hard time creating complex joins using Criteria API and not finding extensive documentation and examples.  "	JavaPersistenceAPI	0	1	0	0
Could you provide your annotated domain class or some other example class?   	"Is there a good tutorial or documentation anywhere once you get past the basics? Pro JPA 2 Mastering the Java Persistence API is a much better than the sun tutorial, but doesn't go into enough detail. I'm having a hard time creating complex joins using Criteria API and not finding extensive documentation and examples.  "	API	0	1	0	0
Could you provide your annotated domain class or some other example class?   	"To april26 - I learned via trial and error enabling OpenJPA's logging in my WAS 8 output console.  I was able to see the SQL the Criteria API was generating and tinkered with it until it spit out the query I was expecting to see.  Before that, I plowed through Hibernate and OpenJPA's manuals (both are huge but have relatively small sections on the Criteria API).  I remember an IBM article that talks about it as well.  "	Criteria	0	0	0	0
Could you provide your annotated domain class or some other example class?   	"To april26 - I learned via trial and error enabling OpenJPA's logging in my WAS 8 output console.  I was able to see the SQL the Criteria API was generating and tinkered with it until it spit out the query I was expecting to see.  Before that, I plowed through Hibernate and OpenJPA's manuals (both are huge but have relatively small sections on the Criteria API).  I remember an IBM article that talks about it as well.  "	Hibernate	0	0	0	0
Could you provide your annotated domain class or some other example class?   	"To april26 - I learned via trial and error enabling OpenJPA's logging in my WAS 8 output console.  I was able to see the SQL the Criteria API was generating and tinkered with it until it spit out the query I was expecting to see.  Before that, I plowed through Hibernate and OpenJPA's manuals (both are huge but have relatively small sections on the Criteria API).  I remember an IBM article that talks about it as well.  "	OpenJPA's	0	0	0	0
"What kind of filtering, validation, rejection do you want? For example, you can create your own MessageBodyWriter/Reader to handle validation. Or you can set the To Context in the constructor for custom HTTP header parsing or URI parsing.   "	To Override     public ContainerResponse filter(...) is not valid in this type of class.	MessageBodyWriter/Reader	0	1	0	0
"What kind of filtering, validation, rejection do you want? For example, you can create your own MessageBodyWriter/Reader to handle validation. Or you can set the To Context in the constructor for custom HTTP header parsing or URI parsing.   "	To Override     public ContainerResponse filter(...) is not valid in this type of class.	filter(...)	0	1	0	0
I don't find enough documentations/tutorials for using Retrofit.   	better to use volley for fast networking.	Retrofit	0	1	0	0
I don't find enough documentations/tutorials for using Retrofit.   	better to use volley for fast networking.	volley	0	1	0	0
I don't find enough documentations/tutorials for using Retrofit.   	"Unresolved reference: RestAdapter, It appears RestAdapter is no longer used in version 2. This question helped explain that: ,stackoverflow.com/questions/32424184   "	Retrofit	0	1	0	0
I don't find enough documentations/tutorials for using Retrofit.   	"Unresolved reference: RestAdapter, It appears RestAdapter is no longer used in version 2. This question helped explain that: ,stackoverflow.com/questions/32424184   "	It	0	1	0	0
I don't find enough documentations/tutorials for using Retrofit.   	"Unresolved reference: RestAdapter, It appears RestAdapter is no longer used in version 2. This question helped explain that: ,stackoverflow.com/questions/32424184   "	RestAdapter	0	1	0	0
