String	Entity	Performance	Usability	Security	Others	Sentiment
correction: my previous comment is WRONG. wildcard is more sophisticated than I thought.	wildcard	0	0	0	0	n
correction: my previous comment is WRONG. wildcard is more sophisticated than I thought.	I	0	0	0	0	o
"If you are using transfer managers, this solution also works. Simply replace ,s3Client.putObject(, with ,TransferManager.upload("	s3Client.putObject(	0	1	0	0	p
"If you are using transfer managers, this solution also works. Simply replace ,s3Client.putObject(, with ,TransferManager.upload("	TransferManager.upload(	0	1	0	0	p
"Unfortunately, it seems that with TransferUtility the Android SDK does not has this feature: ,github.com/aws/aws-sdk-android/issues/63"	TransferUtility	0	1	0	1	o
"Unfortunately, it seems that with TransferUtility the Android SDK does not has this feature: ,github.com/aws/aws-sdk-android/issues/63"	Android	0	0	0	1	o
"Wow, Great but why eclipse imports ,java.awt.List, not ,java.utils.List,?"	java.awt.List	0	1	0	1	o
"Wow, Great but why eclipse imports ,java.awt.List, not ,java.utils.List,?"	java.utils.List	0	1	0	0	o
"Also, why doesn't diff change (in yours, and part of my orig question)?  I thought that was the point."	(in	0	0	0	1	o
"Also, why doesn't diff change (in yours, and part of my orig question)?  I thought that was the point."	yours	0	0	0	1	o
"You're witnessing the garbage collector at work (not sure why you get a stack overflow tho--sounds like a bug in your test). The JVM's heap starts out empty with a small size (128MB). As more objects get created, the heap gets more full. Eventually the heap becomes so full that it triggers a full GC, causing two effects: 1) the heap size is ,increased, to 224MB, thus increasing ,totalMemory,, and 2) garbage is collected, increasing ,freeMemory,. All very normal. And it appears your JVM changes its precision of ,freeMemory, depending on... who knows. Again the behavior is within spec."	totalMemory	0	1	0	0	o
"You're witnessing the garbage collector at work (not sure why you get a stack overflow tho--sounds like a bug in your test). The JVM's heap starts out empty with a small size (128MB). As more objects get created, the heap gets more full. Eventually the heap becomes so full that it triggers a full GC, causing two effects: 1) the heap size is ,increased, to 224MB, thus increasing ,totalMemory,, and 2) garbage is collected, increasing ,freeMemory,. All very normal. And it appears your JVM changes its precision of ,freeMemory, depending on... who knows. Again the behavior is within spec."	freeMemory	0	1	0	0	o
"You're witnessing the garbage collector at work (not sure why you get a stack overflow tho--sounds like a bug in your test). The JVM's heap starts out empty with a small size (128MB). As more objects get created, the heap gets more full. Eventually the heap becomes so full that it triggers a full GC, causing two effects: 1) the heap size is ,increased, to 224MB, thus increasing ,totalMemory,, and 2) garbage is collected, increasing ,freeMemory,. All very normal. And it appears your JVM changes its precision of ,freeMemory, depending on... who knows. Again the behavior is within spec."	freeMemory	0	1	0	0	o
"Try to change ,To Field, to ,To Query"	To	0	0	0	1	o
"Try to change ,To Field, to ,To Query"	To	0	0	0	1	o
Accessors and mutators are another good example of this principle.	Accessors	0	1	0	1	p
Accessors and mutators are another good example of this principle.	mutators	0	1	0	1	p
"Accessors and mutators may need comments like /** Users first name. Does not contains symbols other than a-z,A-z and is not greater than 50 characters*/ String getFirstName();  /** Sets price. Should be positive, precision is reduced to 4 digits after decimal point**/ void setPrice(double price);"	Accessors	0	1	0	1	o
