String	Entity			
"? is a shorthand notation; internally compiler replaces it with a type parameter anyway; when there's compiler error, you'll see the surrogate type parameter, instead of the ?"				
"To irreputable while it is more complicated indeed, your point about replacing it with a type parameter is entirely valid; it's just one that you can't declare."				
"if we look at ,just, these two methods as they are - there is no difference and just a matter of style; otherwise (if you add some more generic parameters), things will change"				
"Thank you very much, your explanation is very clear and instructive"				
"To Tony: The book also has a short discussion on how to choose between wildcard vs type parameter when there is no bound. Essentially, if the type parameter appears only once in a method declaration, use wildcard. See also the ,reverse(List<?>), example from JLS ,java.sun.com/docs/books/jls/third_edition/html "	reverse(List<>)			
"I am getting the UnsupportedOperationException for the following code,                                                          <code>public static <T extends Number> void add(List<? super T> list, T num)     {     	list.add(num);     }</code>"				
"Also - you cant pass ,?, as a method parameter like ,doWork(? type), because then you can not use that parameter in method. You need to use type parameter."				
"To VivekVardhan you can't create such a method using wildcards, that is the point. When deciding which to use, ,this, is one of the best sources explaining."				
"I believe ,Shape s = ..., should be ,T s = ...,, otherwise ,return s;, shouldn't compile."	Shape			
Is the only difference that you call it API key instead of username or is there anything else?	username			
Is this below answer resolved your problem? how did you managed your users and api key for each user?				
"this was quite helpful. I have an application which needs to support both Username/Password and ApiKey based authentication. I had Username/Password working and after reading your posting was able to get ApiKey working. Unfortunately, I seemed to break the Username/Password. I am suspicious it is the ordering of my filters or my use of the same AuthenticationManager for both Username/Password and ApiKey auth. Any advice?"	AuthenticationManager			
"To PhillipStack You should be able to configure two WebSecurityConfigurerAdapter with different authentication managers  ala: ,stackoverflow.com/questions/33603156 "	WebSecurityConfigurerAdapter			
"If I understood correctly, the APIKey is not private. Anyone using the client can open the developer console and check the header content. Is it right?"	APIKey			
"To marcellorvalle Typically, the client of an API secured with an API key is another service.  If you're inferring that the client of this API would be a web browser, I would suggest you look into OAuth / JWT tokens for user authorization."				
"Useful must-read : ,REST Security Cheat Sheet / API Keys"				
"this really worked for me. but, is it recommended using in production?"				
"API keys in general are less secure than, say OAuth.  But they are simpler, which is part of the appeal.  Weather or not this trade-off is worth it depends on your needs and how your application is deployed.  My particular application was an internal application, not accepting connections from the outside world, so the trade-off was worth it in my case.  But I would not, for example, deploy an API key to a mobile application as the sole security mechanism because any user of the application will be able to get that API key."	API			
"To mattforsythe You are correct but api keys are usually meant to be used in private environment. To use it in a mobile application, in theory, you need to create some kind of proxy with your backend."				
"To WannyMiarelli, correct.  As I mentioned in my comment, my application was a private, internal one that did not accept connections from the outside internet.  This is what made it ideal in my case.  I think we are saying the same thing, right?"				
"How can I combine it with a bearer token filter, such that api keys authorizated requests will get a different group than the token requests. In such a way that I can use it with To PreAuthorize. For example some endpoints will be publicly available with an api key, others are protected behind a login"	To			
"When using ,TransferManager, the following works: ,Upload upload = tm.upload(         new PutObjectRequest(bucketName, key, file, metadata)             .withCannedAcl(CannedAccessControlList.PublicRead));"	TransferManager			
"How come when I run the program it returns ""null : null"" or should I post this in a new question?"				
"To user2526311 Don't set it as null in the beginning, Set it to a dummy or empty string."				
"Changed it to 'String all = """";' and it gave me "" : null"" as a return."				
You seem to have some issue with the buffered reader and the request-respondse. I'd ask a new question.				
"You both used a wrong import. You need the interface for ,List, from ,java.util.List,."	java.util.List			
"Thank you. Though ""RESTFul Java with JAX-RS"" is quite old and lot of things evolved current past, gives good insight on the concepts. As explained one need to go though multiple resources to get a good understanding on REST."	JAX-RS			
This is one of the best replies I have come across!!	This			
"I know this is an old question but the best resource I have found is ,here,. I find the best way to learn something is to code. This gives you a really good overview of REST and shows you how to code it so you can code along."	REST			
"getRuntime().totalMemory(), refers to the total amount of memory available to the Java runtime, not the amount of memory available to your application in particular."	getRuntime().totalMemory()			
