ManualLabel	Text	codes
o	"""I don't see why we need to keep opening more connections."""	"[""'Usability'""]"
p	"""Right now, I've got real-time measurements updating in my browser, and just one connection (I think)."""	"[""'Others'""]"
p	"""URL_https://github.com/Atmosphere/atmosphere [Atmosphere] and URL_http://directwebremoting.org/dwr/index.html [DWR] are both open source frameworks that can make Comet easy in Java."""	"[""'Usability'""]"
o	"""I created an example app using Comet, Raphael, Bayeux, Java and Maven running PaaS Cloudbees and wrote a blog post about it, hopefully it will be helpful to someone."""	"[""'Others'""]"
o	"""URL_http://geeks.aretotally.in/thinking-in-reverse-not-taking-orders-from-yo [ URL_http://geeks.aretotally.in/thinking-in-reverse-not-taking-orders-from-yo ] ."""	"[""'Others'""]"
o	"""We used COMET in conjunction with JMS using URL_http://www.ibm.com/developerwo rks/websphere/techjournal/0802%5Fhaverlock/0802%5Fhaverlock.html [WAS-Web-2.0 -Feature-Pack] ; in effect the server did the JMS subscribe and COMET-pushed the message to the browser."""	"[""'Others'""]"
n	"""as a developer it ""felt"" like the browser was subscribing to JMS."""	"[""'Usability'""]"
n	"""This ""just worked"" so we didn't look further for alternatives."""	"[""'Usability'""]"
n	"""I could imagine a pure JavaScript JMS implementation in the browser, using HTTP as a transport but my instict is that this would be very heavyweight."""	"[""'Performance'""]"
o	"""I know of no such implementations."""	"[""'Others'""]"
o	"""The alternative approach to those already discussed (i.e."""	"[""'Others'""]"
o	"""Comet etc."""	"[""'Others'""]"
n	""") is to implement polling in the client."""	"[""'Others'""]"
n	"""The downside of that approach is that you inevitably have a delay from the time of the message/event and until the client receives it."""	"[""'Performance'""]"
p	"""If your application is very sensitive to such delays, polling is out."""	"[""'Performance'""]"
p	"""If a certain amount of delay (at minimum in the order of a few seconds) is acceptable, polling is less of an abuse of the HTTP protocol."""	"[""'Performance'""]"
o	"""It is also more robust against temporary network troubles as the server by default queues messages and wont get upset if the client isn't available on its schedule."""	"[""'Others'""]"
o	"""There is really no big difference between polling and long-lived connections."""	"[""'Others'""]"
o	"""In both cases you initate a poll, and it will return immediatelly, or with some delay."""	"[""'Performance'""]"
o	"""The longer the delay is the less connections you have to open."""	"[""'Performance'""]"
o	"""In all cases problems like terminated or unanswered calls are just lead to the next poll."""	"[""'Others'""]"
n	"""Inside the HTTP/1.1 the (TCP)connection typically stays open."""	"[""'Others'""]"
o	"""Alternatives to Apache HttpComponents?"""	"[""'Others'""]"
o	"""So, I've come to the conclusion that Apache HttpComponents 4 is one of the most overwrought APIs I've ever come across."""	"[""'Usability'""]"
n	"""Things that seem like they should be simple are taking hundreds of lines of code (and I'm _still_ not sure resources get cleaned up correctly)."""	"[""'Usability'""]"
o	"""Plus it wants me to do things like: CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
