ManualLabel	Text	codes
o	"""JAXB Bindings File Sets @XmlElement type to String instead of XMLGregorianCalendar."""	"[""'Usability'""]"
o	"""I'm trying to create an CODETERM1 that takes in an CODETERM2 and outputs an CODETERM3 ."""	"[""'Others'""]"
o	"""The purpose is simlply to remove timezone data from the element when unmarshalling data."""	"[""'Others'""]"
o	"""It looks like this: CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
p	"""This works fine for the following code: CODESNIPPET_JAVA2 ."""	"[""'Others'""]"
n	"""Unfortunately, when I generate the code using a CODETERM4 file, the above code looks like this: CODESNIPPET_JAVA3 ."""	"[""'Others'""]"
n	"""It sets the type to CODETERM5 , so my above method doesn't work."""	"[""'Usability'""]"
n	"""The type CODETERM6 setting is overriding the CODETERM7 type that it should be."""	"[""'Others'""]"
o	"""I can manually change it, but I'd rather not have to remember to update it every time the jaxb files are regenerated."""	"[""'Others'""]"
o	"""Does anyone know if there's an option to manually set the CODETERM8 type or have it ignored?"""	"[""'Others'""]"
o	"""Here is the relevant portion of the CODETERM9 file: CODESNIPPET_JAVA4 ."""	"[""'Others'""]"
n	"""It might be that the XPath term in your Binding is not finding the required element."""	"[""'Others'""]"
o	"""You don't need the dot since // searches in the entire document."""	"[""'Usability'""]"
o	"""And more importantly try surrounding the element name with ''."""	"[""'Others'""]"
o	"""Resulting term should look like this: node=""//xs:element[@name='bar-date']""."""	"[""'Others'""]"
o	"""What does the XSD look like?"""	"[""'Others'""]"
o	"""Is the bar-date element defined as xs:string or a complexType?"""	"[""'Others'""]"
n	"""maybe i'm wrong, but i think marshall/unmarshall pursuit a different goal, what you are trying to do is conceptually incorrect."""	"[""'Usability'""]"
n	"""maybe the timezone removal itself is incorrect, why would someone do it?"""	"[""'Usability'""]"
n	"""Please provide the xsd, without it its difficult to guess the issue, or recreate it."""	"[""'Others'""]"
o	"""the bar-date element should be defined with a xsd:date type."""	"[""'Others'""]"
o	"""Is this the case ?"""	"[""'Others'""]"
n	"""sorry, too long for a comment... i can't understand: 1. why the hell are you using CODETERM1 ?"""	"[""'Usability'""]"
n	"""2. why should you CODETERM2 / CODETERM3 ( CODETERM4 / CODETERM5 ) to the very same data structure?"""	"[""'Others'""]"
o	"""3. why should you remove timezone??"""	"[""'Others'""]"
p	"""and 1. i use straight and simple CODETERM6 2."""	"[""'Usability'""]"
n	"""CODETERM7 / CODETERM8 should always involve CODETERM9 s (at least for XML) 3. i really don' see a good reason to arbitrarily remove a piece of a date representation."""	"[""'Usability'""]"
o	"""maybe you want to serialize it in an absolute way."""	"[""'Others'""]"
o	"""however CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
o	"""HTML/XML Parser for Java."""	"[""'Others'""]"
o	"""What HTML parsers have the following features: Fast Thread-safe Reliable and Others-free Parses HTML and XML Handles erroneous HTML Has a DOM implementation Supports HTML3, JavaScript, and CSS tags Relatively simple, object-oriented API What parser you think is better?"""	"""'Performance'""]"
o	"""What HTML parsers have the following features: Fast Thread-safe Reliable and Others-free Parses HTML and XML Handles erroneous HTML Has a DOM implementation Supports HTML4, JavaScript, and CSS tags Relatively simple, object-oriented API What parser you think is better?"""	"[""'Usability'""]"
p	"""Thank you."""	"[""'Others'""]"
o	"""what do you mean by ""support HTML4, javascript and CSS"" ?"""	"[""'Others'""]"
o	"""A parser is just that, a parser, it won't interpret your page."""	"[""'Usability'""]"
n	"""If you want to simulate a browser, please rephrase your question."""	"[""'Others'""]"
n	"""No."""	"[""'Others'""]"
n	"""Some parsers do not understand things like CSS."""	"[""'Usability'""]"
