ManualLabel	Text	codes
p	"""To read a File as binary and convert at the end CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
o	"""There is a variation on the same theme that uses a for loop, instead of a while loop, to limit the scope of the line variable."""	"[""'Others'""]"
o	"""Whether it's ""better"" is a matter of personal taste."""	"[""'Others'""]"
n	"""CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
o	"""This will change the newlines to the default newline choise."""	"[""'Others'""]"
o	"""This may be desirable, or unintended."""	"[""'Others'""]"
o	"""Rolled back the edit to this answer because the point was to narrow the scope of the line variable."""	"[""'Others'""]"
p	"""The edit declared it twice, which would be a compile error."""	"[""'Others'""]"
p	"""Be aware when using CODETERM1 the returned integer does not have to represent the actual file size, but rather the guessed amount of bytes the system should be able to read from the stream without blocking IO."""	"[""'Others'""]"
n	"""A safe and simple way could look like this CODESNIPPET_JAVA1 ."""	"[""'Performance'""]"
n	"""It should be considered that this approach is suitable for multi-byte character encodings like UTF-8."""	"[""'Usability'""]"
n	"""This code may give unpredictable results."""	"[""'Usability'""]"
n	"""According to the [Others](htt p://docs.oracle.com/javase/7/docs/api/java/io/InputStream.html#available%28%29 ) of the available() method, there is no guarantee that the end of file is reached in the event that the method returns 0."""	"[""'Usability'""]"
p	"""In that case you might end up with an incomplete file."""	"[""'Others'""]"
p	"""What's worse, the number of bytes actually read can be smaller than the value returned by available(), in which case you get corrupted output."""	"[""'Others'""]"
p	"""A flexible solution using URL_http://commons.apache.org/io/apidocs/org/apache/commons/io/IOUtils.html [IOUtils] from Apache URL_http://commons.apache.org/io/ [commons-io] in combination with URL_http://docs.oracle.com/javase/6/docs/api/java/io/StringWriter.html [StringWriter] : CODESNIPPET_JAVA1 ."""	"[""'Usability'""]"
o	"""It works with any reader or input stream (not just with files), for example when reading from a URL."""	"[""'Usability'""]"
o	"""One Line Solution CODESNIPPET_JAVA1 ."""	"[""'Usability'""]"
o	"""The original question was creating a single string, not a list of lines."""	"[""'Others'""]"
o	"""This one uses the method CODETERM1 ."""	"[""'Others'""]"
p	"""CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
o	"""I cannot comment other entries yet, so I'll just leave it here."""	"[""'Others'""]"
n	"""One of best answers here ( URL_http://stackoverflow.com/a/326448/1521167 [ URL_http://stackoverflow.com/a/326448/1521167 ] ): CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
o	"""still has one flaw."""	"[""'Others'""]"
o	"""It always puts new line char in the end of string, which may cause some weirds Otherss."""	"[""'Others'""]"
o	"""My suggestion is to change it to: CODESNIPPET_JAVA2 ."""	"[""'Others'""]"
p	"""You could try: CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
o	"""I'm not sure what problems might occur with the bytes and character sets etc, but it works for me."""	"[""'Usability'""]"
p	"""I have always wondered, is it possible that input.available() return less bytes count than those in the file; I guess with big files."""	"[""'Others'""]"
p	"""Probably."""	"[""'Others'""]"
p	"""Like I said, it works for me."""	"[""'Usability'""]"
n	"""Perhaps there is a more suitable java.io.File method (something like getLength()?"""	"[""'Usability'""]"
o	""") which could provide a more reliable value."""	"[""'Usability'""]"
o	"""Given the doco for read(byte[]) this is very risky code."""	"[""'Others'""]"
o	"""What if the file is on a network share or SAN?"""	"[""'Others'""]"
p	"""Then you might get an available count of less than the file size."""	"[""'Others'""]"
p	"""You need to use a readFull() method and File.length()."""	"[""'Others'""]"
o	"""Like I said, it works for me and my purposes."""	"[""'Usability'""]"
o	"""It is concise and I've yet to encounter a problem with it."""	"[""'Usability'""]"
o	"""That said, there are probably a hundred better ways to do it (just, this method has less code)."""	"[""'Usability'""]"
n	"""Actually this is very similar the way the library posted by Willi aus Rohr."""	"[""'Others'""]"
n	"""Don't see why the downvote."""	"[""'Others'""]"
n	"""Problems with this code: 1) Stream is left open when there's an exception."""	"[""'Others'""]"
n	"""2) Use of available() to guess at file size (and assume it's constant)."""	"[""'Others'""]"
n	"""3) Assumption that a single call to read() will read everything."""	"[""'Others'""]"
n	"""4) Use of platform-default character encoding."""	"[""'Others'""]"
n	"""In short, please don't do this :)."""	"[""'Usability'""]"
n	"""I agree with Jon on all points."""	"[""'Others'""]"
n	"""No offense intended, but this is like a checklist of what NOT to do."""	"[""'Usability'""]"
o	"""Cry me a river, I'll do it this way all the time just to spite you all."""	"[""'Usability'""]"
o	"""Joking aside, I've NEVER had a problem with it so I'm just going to wave my hands like I just don't care (because I don't)."""	"[""'Others'""]"
o	"""Which is the standard Java crypto API?"""	"[""'Others'""]"
o	"""I want to implement a tool in Java to learn more about cryptography."""	"[""'Security'""]"
o	"""I know that there is a security package with some crypto stuff inside."""	"[""'Security'""]"
o	"""Now I saw there is a dedicated javax.crypto package inside the SDK."""	"[""'Others'""]"
o	"""Where is the difference?"""	"[""'Others'""]"
o	"""Are they both up to date?"""	"[""'Usability'""]"
o	"""I wanted to start my tool with some historical ciphers."""	"[""'Others'""]"
o	"""But it should not be limited to them."""	"[""'Others'""]"
n	"""So I need a nice abstraction through interfaces or something like that."""	"[""'Usability'""]"
o	"""Whats the better choice of the two APIs?"""	"[""'Others'""]"
o	"""Is there another API I should have a look at?"""	"[""'Others'""]"
n	"""Thanks in advance."""	"[""'Others'""]"
o	"""To answer the question asked: javax.crypto deals with low level crypto: encryption, decryption, and hashing."""	"[""'Security'""]"
o	"""It's where the Cipher class is defined."""	"[""'Others'""]"
p	"""java.security deals with everything else: key management, certtificate management, and signatures."""	"[""'Security'""]"
o	"""Those interfaces abstract JCE providers, which implement specific algorithms."""	"[""'Others'""]"
p	"""Sun provides some, and BouncyCastle is another good one."""	"[""'Usability'""]"
o	"""If you are planning some custom ciphers for which there is not already an implementation, you'll be implementing your own JCE provider, and specifically extending CODETERM1 ."""	"[""'Usability'""]"
p	"""It's not difficult, but you have to URL_http://java.sun.com/javase/6/docs/tech notes/guides/security/crypto/HowToImplAProvider.html [read-through-the- Others-on-how-to-do-that] ."""	"[""'Others'""]"
o	"""In order for the JCE to allow your provider, you will have to apply to Sun for a certificate, basically faxing them a signed statement that you are aware of the US export restrictions on crypto libraries."""	"[""'Others'""]"
o	"""It's a mix of the two packages."""	"[""'Others'""]"
o	"""URL_http://java.sun.com/javase/6/docs/technotes/guides/security/crypto/CryptoS pec.html [Here] are the relevant docs ."""	"[""'Others'""]"
o	"""Thanks."""	"[""'Others'""]"
o	"""But before further reading: Can you tell me if I can use this API to implement cryptogrphic algorithms which are not part of the JCA, yet."""	"[""'Security'""]"
o	"""E.g."""	"[""'Others'""]"
o	"""historical ciphers?"""	"[""'Others'""]"
o	"""Thx."""	"[""'Others'""]"
o	"""JCA is just an API, it doesn't define ciphers."""	"[""'Security'""]"
o	"""The SPI (service provider interface) defines them, and you can extend the API to define your own."""	"[""'Others'""]"
p	"""You could take a look at URL_http://www.bouncycastle.org [The-Legion-of-the- Bouncy-Castle] ."""	"[""'Usability'""]"
n	"""When we tried to do something that was compatible with openssl, only bouncycastle worked."""	"[""'Usability'""]"
n	"""The sun java security stuff was just too Othersgy to work in a compatible manner."""	"[""'Others'""]"
n	"""It should be compatible with itself, however."""	"[""'Usability'""]"
o	"""Also: bouncycastle doesn't require you to run inside that security sandbox stuff (which is mostly for applets - remember them?"""	"[""'Usability'""]"
p	"""), so deOthersging the program actually becomes possible."""	"[""'Usability'""]"
p	"""Check out URL_http://www.keyczar.org/ [keyczar] ."""	"[""'Usability'""]"
o	"""+1000 for Keyczar."""	"[""'Others'""]"
o	"""URL_http://www.jasypt.org [ URL_http://www.jasypt.org ] is also a good option."""	"[""'Usability'""]"
o	"""URL_http://java.sun.com/j2se/1.5.0/docs/api/ [The-updated-docs] ."""	"[""'Others'""]"
n	"""I have add another vote for Bouncy Castle."""	"[""'Usability'""]"
o	"""I recently needed an encryption algorithm that worked across multiple platforms (Java & C#)."""	"[""'Security'""]"
n	"""We tried to use the standard Java and C# encryption packages but we found too many issues with the encrypt/decrypt."""	"[""'Security'""]"
o	"""Looking around, Bouncy Castle had a .NET implementation in addition to a Java."""	"[""'Usability'""]"
n	"""Although, .NET implementation of Bouncy Castle is not well documented, it is essentially the same as Java."""	"[""'Others'""]"
o	"""Java Cryptography Extensions (The Practical Guide Series) by Jason Weiss."""	"[""'Others'""]"
p	"""I spent a lot on books, I have a lot of books, all of them very good."""	"[""'Others'""]"
p	"""( if you have a masters in math ) This book gets to the point, I had a cipher working in 5-6 hours."""	"[""'Usability'""]"
n	"""I had been working 5-6 years to get one running."""	"[""'Usability'""]"
o	"""Much practical advice from decades of doing actual infosec."""	"[""'Usability'""]"
o	"""128 bit data encryption using Java."""	"[""'Security'""]"
o	"""I need to store some sensitive data by encrypting it with atleast 128 bit key."""	"[""'Security'""]"
o	"""I investigated into javax.crypto package and found that there are certain Cipher names, like PBEWithMD5AndDES or PBEWithSHA1AndDESede which provides encryption upto 56 bit and 80 bit ( URL_http://en.wikipedia.org/wiki/DESede [ URL_http://en.wikipedia.org/wiki/DESede ] )."""	"[""'Security'""]"
o	"""I referred other guys posts but those are mainly using RSA and in my understanding RSA is generally suitable for encrypting the communication data (with private-public key pair)."""	"[""'Security'""]"
o	"""My need is different, I just want to store the data and retrieve it back by decrypting it."""	"[""'Security'""]"
o	"""Therefore I don't need any private-public key pairs."""	"[""'Security'""]"
o	"""Please let me know if you have any idea about this."""	"[""'Others'""]"
p	"""Thanks in advance."""	"[""'Others'""]"
o	"""Use URL_http://en.wikipedia.org/wiki/Advanced_Encryption_Standard [Advanced- Encryption-Standard] (AES)."""	"[""'Usability'""]"
o	"""It supports Key lengths of 128, 192, or 256 bits."""	"[""'Usability'""]"
p	"""The URL_http://www.hoozi.com/Articles/AESEncryption.htm [algorithm] is simple."""	"[""'Usability'""]"
o	"""The Sun Java website has a URL_http://java.sun.com/developer/technicalArticles/Security/AES/AES_v1.html [section-explaining-how-to-do-AES] encryption in Java."""	"[""'Security'""]"
o	"""From Wikipedia... ... the Advanced Encryption Standard (AES), also known as Rijndael, is a block cipher adopted as an encryption standard by the U.S. government."""	"[""'Security'""]"
p	"""It has been analyzed extensively and is now used worldwide, as was the case with its predecessor, the Data Encryption Standard (DES)..."""	"[""'Security'""]"
n	"""So as a rule of thumb you are not supposed to use DES or its variants because it is being phased out."""	"[""'Usability'""]"
p	"""As of now, it is better to use AES."""	"[""'Usability'""]"
p	"""There are other options like URL_http://en.wikipedia.org/wiki/Twofish [Twofish] , URL_http://en.wikipedia.org/wiki/Blowfish_(cipher) [Blowfish] etc also."""	"[""'Others'""]"
o	"""Note that Twofish can be considered as an advanced version of Blowfish."""	"[""'Others'""]"
p	"""I have had good success in the past with URL_http://www.bouncycastle.org/ [ URL_http://www.bouncycastle.org/ ] (they have a C# version as well)."""	"[""'Performance'""]"
o	"""You need to download and install the unlimited strength JCE policy file for your JDK."""	"[""'Usability'""]"
o	"""For JDK 6, it is on URL_http://java.sun.com/javase/downloads/index.jsp [ URL_http://java.sun.com/javase/downloads/index.jsp ] at the very bottom."""	"[""'Others'""]"
o	"""Isn't it required only for AES-192 or 256?"""	"[""'Others'""]"
o	"""I believe AES-128 doesn't require the unlimited strength JCE policy files."""	"[""'Others'""]"
p	"""Combining 3 different replies gives what I think is the correct answer."""	"[""'Others'""]"
o	"""Download encryption libraries from URL_http://www.bouncycastle.org/java.html [Bouncycastle] then you need to download the ""Unlimited Strength Jurisdiction Policy"" from URL_http://www.oracle.com/technetwork/java/javase/downloads/index.html [Oracle] (the files are at the bottom of the download page)."""	"[""'Security'""]"
o	"""Make sure you read the Readme-file on how to install it."""	"[""'Others'""]"
p	"""Once you have done this, and using the sample code supplied with the Bountycastle package you should be able to encrypt your data."""	"[""'Security'""]"
o	"""You can go with a tripple DES implementation, which will give you 112 bits key (often referred to as 128 bit, but only 112 of them are actually secure), or as previously stated, you can use AES."""	"[""'Usability'""]"
n	"""My money would be on AES."""	"[""'Others'""]"
o	"""Heads Up: It's BounCycastle, not BounTycastle."""	"[""'Others'""]"
p	"""I'm not a crypto expert by any means (so take this suggestion with a grain of salt), but I have used URL_http://en.wikipedia.org/wiki/Blowfish_(cipher) [Blowfish] before, and I think you can use it for what you need."""	"[""'Security'""]"
p	"""There is also a newer algorithm by the same guy called URL_http://en.wikipedia.org/wiki/Twofish [Twofish] ."""	"[""'Others'""]"
p	"""Here is a URL_http://www.hotpixel.net/software.html [website-with-a-Java- implementation] , but be careful of the license (it says free for non- commercial use)."""	"[""'Others'""]"
o	"""You can find that link also from URL_http://www.schneier.com /blowfish-download.html [Bruce-Schneier's-website] (the creator of both algorithms)."""	"[""'Others'""]"
n	"""the link in ""website with java implementation"" is dead."""	"[""'Others'""]"
n	"""plz update it..."""	"[""'Others'""]"
p	"""Thanks Michael, after trying out many things in JCE, I finally settled for bouncycastle."""	"[""'Usability'""]"
n	"""JCE supports AES for encryption and PBE for password based encryption but it does not support combination of both."""	"[""'Usability'""]"
n	"""I wanted the same thing and that I found in bouncycastle."""	"[""'Usability'""]"
o	"""The example is at : URL_http://forums.sun.com/thread.jspa?messageID=4164916 [ URL_http://forums.sun.com/thread.jspa?messageID=4164916 ] ."""	"[""'Others'""]"
o	"""Is Bouncy Castle API Thread Safe?"""	"[""'Performance'""]"
o	"""Is URL_http://bouncycastle.org/java.html [Bouncy-Castle-API] Thread Safe ?"""	"[""'Performance'""]"
o	"""Especially, CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
o	"""I am planning to write a singleton Spring bean for basic level cryptography support in my app."""	"[""'Security'""]"
o	"""Since it is a web application, there are greater chances of multiple threads accessing this component at a time."""	"[""'Performance'""]"
o	"""So tread safety is essential here."""	"[""'Performance'""]"
o	"""Please let me know if you have come across such situations using Bouncy Castle."""	"[""'Usability'""]"
p	"""Thanks in advance."""	"[""'Others'""]"
p	"""It really does not matter if the API/Code is thread safe."""	"[""'Performance'""]"
n	"""CBC encryption in itself is not thread safe."""	"[""'Performance'""]"
o	"""Some terminology - CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
p	"""A really simple CBC implementation can look like:P1, P2, P3 Plain text messages CODESNIPPET_JAVA2 ."""	"[""'Usability'""]"
