string1   	string2	Entity	Performance	Usability	Security	Others	Sentiment
It would help a great deal if you could first show us what you're currently doing, lest we end up giving you a suggestion that's just as complicated. Or are you just referring to the URL pattern?  What makes you think it's too complicated? Consider adding this info via an ,edit, to your question for clarity.  Thank you.   	Broken URL: ,The requested URL /api-design-ebook-bw/ was not found on this server.  	Thank	0	0	0	0	o
"Well, you ,never, update your UI anywhere. You need to call FXRate.setText(""My new string""); to set a new text on it. You never do, after setting the initial string.   "	I can really go over all the details here, but yes, public member variables exist in the scope of a class or object, and are visible to all other code. members (public or not) are scoped to the class, and shared by all instances of that class, while non-static members belong to each individual instance. Avoid public and static both, unless you actually need them.  	string)	0	0	0	1	o
"Hi wolfetto, Actually while i hit export api, I am getting response as ""success: true"" and the excel has been downloaded in the download. Also, there is no reference to this download path or download file name/content in the api response.  So I think we can't use ""Send and Download"" action.   "	Once you have created the file in downloads you can call another endpoint to point the downloaded file, extract the information you are looking for etc etc. Of course, you must track the information about the file to retrieve it  	Download	0	0	0	0	o
	How does ,NodeProxy, delegate to ,NodeImpl,? ,NodeProxy, does not use ,NodeImpl, in any way. It's the other way around - ,NodeImpl, uses ,NodeProxy,.  	NodeImpl	0	0	0	1	o
I would use spring dsl , it's well documented in spring, and your URL will link will be /api/v1/m?project={p_id}&sprint={s_id}&task={t_id}   	In that case you can build predicate and customize to use dsl using given inputs in URL .	predicate	0	1	0	1	o
Thank you for your guidance. I have added the required jar files manually. Now the application is deployed on tomcat.   	To sandy  If the answer was useful, please consider upvoting and accepting it.  	tomcat	0	0	0	1	p
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	Hi.I am getting the following error. 2014-02-16 18:22:20.957 [jorphan.] (): strPathsOrJars[0] : null/lib/ext DEBUG   2014-02-16 18:22:20.957 [jorphan.] (): Did not find: C:/Users/mvandrangi/workspace/mani/bin DEBUG   2014-02-16 18:22:20.957 [jorphan.] (): Did not find: C:/Users/mvandrangi/Downloads/apache-jmeter-2.11/bin/ApacheJMeter.jar DEBUG   2014-02-16 18:22:20.957 [jorphan.] (): Did not find: C:/Users/mvandrangi/Downloads/apache-jmeter-2.11/bin/ApacheJMeter_core.jar	ThreadGroup	0	0	0	1	o
Could you provide your annotated domain class or some other example class?   	Is there a good tutorial or documentation anywhere once you get past the basics? Pro JPA 2 Mastering the Java Persistence API is a much better than the sun tutorial, but doesn't go into enough detail. I'm having a hard time creating complex joins using Criteria API and not finding extensive documentation and examples.  	API	0	1	0	0	o
	"Hi, I think I have found the issue...it should be like this: Name(To PathParam(""name"") String name, To PathParam(""status"") String status ) Thanks!  "	PathParam(name)	0	0	0	1	n
It's better if you provide full json response, structure of your expected csv, change the title of question and add tag ,jackson,. Rest-Assured CANNOT convert from json to csv, you're using classes of Jackson to achieve that.   	gorest.co.in/public-api/users, - this is full json response.  	json	0	0	0	1	o
